"RT @SSalud_mx: México ha recibido 38 millones 802 mil 355 #Vacunas envasadas de #Pfizer, #AstraZeneca, #Sinovac, #CanSino y #SputnikV y cua…",2021-06-06 16:00:15,1401569635242287118,Gus Resendiz,GustavoRHernan3,1094261336350040071,"Tepotzotlán, México",,Luismi es mi pastor y nada me faltará,False,48,148,1627,2176,0,2019-02-09 15:46:47,https://pbs.twimg.com/profile_images/1395230343096160258/MOXKxTDn_normal.jpg,True,False,es
"❶ #China #Vaccine Early Adopter Nations See Case Surges: Low Efficacy🔴https://t.co/SnjYlCM64x

❷ China's COVID-19 vaccines don't appear 2B effective at preventing outbreaks in the real world🔴https://t.co/ab4MWWtIUB

#Lockdown #Sinopharm #Security #iTHiNKLabs #Sinovac #Africa https://t.co/nUo7oqicXj",2021-06-06 15:25:42,1401560939997155336,THiNKTaNK,B2Spirit_TT,518893575,USA,http://t.co/sYBSl7zeuD,iDO #Strategic Foresight & Execution #Security #Risk #Strategy #Leadership #Business/#Startup #Tech #Futurism #Law #Marketing #CEO #Success #iTHiNKLabs🎯Talk2Me,False,6895,6410,3661,36854,1794,2012-03-08 21:26:53,https://pbs.twimg.com/profile_images/1882290390/TTT_normal.jpg,False,False,en
"RT @Birmex: Cerramos la semana con un total de 43 millones 347 mil 665 vacunas contra #COVID19 en México, de 5 farmacéuticas:
#Pfizer 37%
#…",2021-06-06 15:15:06,1401558272621039619,RFabiano1,Fabiano1R,1265030512218963969,,,O Universo,False,0,187,1933,147,0,2020-05-25 21:23:31,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,True,True,es
RT @Venezolanonews: China autoriza uso de emergencia de vacuna de Sinovac en niños - https://t.co/byRww9xK48 #EVNews #China #Sinovac #vacun…,2021-06-06 15:09:50,1401556948919754755,L. Griselda V.P.M.,crazylourdes,376444474,,,,False,170,826,651,182803,18,2011-09-19 22:11:46,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,True,True,es
"RT @SSalud_mx: México ha recibido 38 millones 802 mil 355 #Vacunas envasadas de #Pfizer, #AstraZeneca, #Sinovac, #CanSino y #SputnikV y cua…",2021-06-06 15:02:54,1401555202226802695,Fuerza 4T,FUERZA_MORENA,43645800,Mexico City,https://t.co/U8VYEmFIiy,"INTERNACIONALISTAS no globalistas. Si de GLOBALIZAR se trata, que sea LA LUCHA DE LOS PUEBLOS. No es cuenta oficial.",False,40148,482,77643,306387,238,2009-05-31 05:09:40,https://pbs.twimg.com/profile_images/1377376080529530883/yLuP2XUM_normal.jpg,False,False,es
China autoriza uso de emergencia de vacuna de Sinovac en niños - https://t.co/byRww9xK48 #EVNews #China #Sinovac #vacunas,2021-06-06 14:51:16,1401552273486999556,El Venezolano,Venezolanonews,164908231,"Miami, Florida",https://t.co/fp669VF3rh,"Fundado en 1992

Decano del periodismo en Estados Unidos

Premio Nacional de Periodismo en EEUU 2002",False,80382,1896,29,1115836,561,2010-07-10 02:18:32,https://pbs.twimg.com/profile_images/671411321376743424/-0g1YZ2x_normal.jpg,False,False,es
"RT @SSalud_mx: México ha recibido 38 millones 802 mil 355 #Vacunas envasadas de #Pfizer, #AstraZeneca, #Sinovac, #CanSino y #SputnikV y cua…",2021-06-06 14:23:02,1401545169883828224,Fernando Machuca,Machuca_Fernan,828002067977351168,Mexico,,"Joven con convicción social, apoyo total a la 4T, un empedernido conocedor de historia.",False,132,454,47845,26095,1,2017-02-04 22:07:31,https://pbs.twimg.com/profile_images/1377040049993310209/C6XDQvAt_normal.jpg,True,False,es
"RT @SSalud_mx: México ha recibido 38 millones 802 mil 355 #Vacunas envasadas de #Pfizer, #AstraZeneca, #Sinovac, #CanSino y #SputnikV y cua…",2021-06-06 14:20:11,1401544452146085894,El Californiano Mexicano,Anthony151472,1280145039264550915,"California, USA",,"¡Hola! Soy un ciudadano mexicano radicado en USA. Quiero ver a mi país progresar, ¡y por eso apoyo al 100% a nuestro presidente AMLO!
🇲🇽🇺🇸",False,91,169,22650,4568,1,2020-07-06 14:22:33,https://pbs.twimg.com/profile_images/1280337923569856512/enthOgpB_normal.jpg,True,False,es
"RT @SSalud_mx: México ha recibido 38 millones 802 mil 355 #Vacunas envasadas de #Pfizer, #AstraZeneca, #Sinovac, #CanSino y #SputnikV y cua…",2021-06-06 14:17:42,1401543825781370881,Editorial Estigia,Estigiaed,234690126,"Mexico, D.F.",https://t.co/SdOjpgR1mG,"Sociedad de escritores. Los clasicos del futuro, hoy. Cuento, novela, poesia, traduccion, teatro y ensayo.",False,1647,4994,2490,614950,150,2011-01-06 09:28:21,https://pbs.twimg.com/profile_images/1331995254/estigia_normal.jpg,True,False,es
"RT @SSalud_mx: México ha recibido 38 millones 802 mil 355 #Vacunas envasadas de #Pfizer, #AstraZeneca, #Sinovac, #CanSino y #SputnikV y cua…",2021-06-06 14:05:14,1401540688458702848,Epidemiología México,DGEMexico,570250589,México,https://t.co/DuGFGRkmOe,"Dirección General de Epidemiología Subsecretaría de Prevención y Promoción de la Salud Secretaría de Salud, México",False,33489,90,244,5768,206,2012-05-03 20:09:34,https://pbs.twimg.com/profile_images/1086814799772688384/DaA6vx7-_normal.jpg,False,False,es
